DEFB128	ENSG00000185982	ENSP00000335382
ZCCHC7	ENSG00000147905	ENSP00000443113
NEK9	ENSG00000119638	ENSP00000238616
ENAM	ENSG00000132464	ENSP00000379383
NME1-NME2	ENSG00000011052	ENSP00000376889
SERPINA10	ENSG00000140093	ENSP00000261994
NUDT12	ENSG00000112874	ENSP00000230792
TSPAN3	ENSG00000140391	ENSP00000267970
NCAN	ENSG00000130287	ENSP00000252575
RASAL3	ENSG00000105122	ENSP00000341905
XBP1	ENSG00000100219	ENSP00000216037
EDC4	ENSG00000038358	ENSP00000351811
UBE2N	ENSG00000177889	ENSP00000316176
ZNF425	ENSG00000204947	ENSP00000367300
SUN2	ENSG00000100242	ENSP00000385616
KAT2B	ENSG00000114166	ENSP00000263754
MACIR	ENSG00000181751	ENSP00000326110
GEMIN6	ENSG00000152147	ENSP00000281950
CTRB1	ENSG00000168925	ENSP00000354294
RPL14	ENSG00000188846	ENSP00000379506
HCN1	ENSG00000164588	ENSP00000307342
CRY1	ENSG00000008405	ENSP00000008527
NUP37	ENSG00000075188	ENSP00000448054
MRE11	ENSG00000020922	ENSP00000325863
OR4M1	ENSG00000176299	ENSP00000319654
SLC8A1	ENSG00000183023	ENSP00000384763
SURF6	ENSG00000148296	ENSP00000361092
GNAT1	ENSG00000114349	ENSP00000232461
MRPL13	ENSG00000172172	ENSP00000306548
MRPL52	ENSG00000172590	ENSP00000347277
ALDH4A1	ENSG00000159423	ENSP00000364490
RGMB	ENSG00000174136	ENSP00000308219
YTHDC2	ENSG00000047188	ENSP00000161863
CPA1	ENSG00000091704	ENSP00000011292
H2BC6	ENSG00000274290	ENSP00000483237
NT5C1B-RDH14	ENSG00000250741	ENSP00000433415
NCR1	ENSG00000189430	ENSP00000291890
ITPR2	ENSG00000123104	ENSP00000370744
ATP6V0D2	ENSG00000147614	ENSP00000285393
VLDLR	ENSG00000147852	ENSP00000371532
PSG9	ENSG00000183668	ENSP00000270077
LSM11	ENSG00000155858	ENSP00000286307
DNAJA3	ENSG00000103423	ENSP00000262375
SGSH	ENSG00000181523	ENSP00000314606
PSMA1	ENSG00000129084	ENSP00000414359
DNER	ENSG00000187957	ENSP00000345229
IGF2R	ENSG00000197081	ENSP00000349437
GNA13	ENSG00000120063	ENSP00000400717
SGF29	ENSG00000176476	ENSP00000316114
RTN1	ENSG00000139970	ENSP00000267484
CBX3	ENSG00000122565	ENSP00000336687
OS9	ENSG00000135506	ENSP00000318165
CTNNBIP1	ENSG00000178585	ENSP00000366474
BORCS8	ENSG00000254901	ENSP00000425864
METTL1	ENSG00000037897	ENSP00000314441
SNX1	ENSG00000028528	ENSP00000261889
PLA2G10	ENSG00000069764	ENSP00000393847
IGF1	ENSG00000017427	ENSP00000302665
OSBPL9	ENSG00000117859	ENSP00000412733
CCN4	ENSG00000104415	ENSP00000250160
CARD8	ENSG00000105483	ENSP00000375767
MGAT4D	ENSG00000205301	ENSP00000421185
PLEKHG2	ENSG00000090924	ENSP00000392906
PEX5	ENSG00000139197	ENSP00000391601
OR2B2	ENSG00000168131	ENSP00000304419
SERPING1	ENSG00000149131	ENSP00000278407
OR13J1	ENSG00000168828	ENSP00000367219
SH2D3A	ENSG00000125731	ENSP00000245908
NFATC3	ENSG00000072736	ENSP00000300659
ZNF587	ENSG00000198466	ENSP00000345479
IER3	ENSG00000137331	ENSP00000259874
