idx	rho	beta	gamma	method	metric	perf
24	0.2	-inf	-inf	RWR	Prec@100	0.22
24	0.2	-inf	-inf	RWR	Prec@200	0.195
24	0.2	-inf	-inf	RWR	AveP	0.08787593626601375
25	0.2	-inf	-inf	Naive	Prec@100	0.0
25	0.2	-inf	-inf	Naive	Prec@200	0.01
25	0.2	-inf	-inf	Naive	AveP	0.025990039662608433
25	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.23
25	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.18
25	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07428846324102284
25	0.2	-inf	-inf	mND	Prec@100	0.23
25	0.2	-inf	-inf	mND	Prec@200	0.18
25	0.2	-inf	-inf	mND	AveP	0.09366138202951763
25	0.2	-inf	-inf	RWR	Prec@100	0.24
25	0.2	-inf	-inf	RWR	Prec@200	0.19
25	0.2	-inf	-inf	RWR	AveP	0.09201805805220983
26	0.2	-inf	-inf	Naive	Prec@100	0.0
26	0.2	-inf	-inf	Naive	Prec@200	0.005
26	0.2	-inf	-inf	Naive	AveP	0.025364889803614482
26	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.21
26	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.17
26	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06781931977327518
26	0.2	-inf	-inf	mND	Prec@100	0.18
26	0.2	-inf	-inf	mND	Prec@200	0.16
26	0.2	-inf	-inf	mND	AveP	0.08808853048599805
26	0.2	-inf	-inf	RWR	Prec@100	0.22
26	0.2	-inf	-inf	RWR	Prec@200	0.19
26	0.2	-inf	-inf	RWR	AveP	0.08633601563826011
27	0.2	-inf	-inf	Naive	Prec@100	0.0
27	0.2	-inf	-inf	Naive	Prec@200	0.01
27	0.2	-inf	-inf	Naive	AveP	0.02512965153201635
27	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.2
27	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.175
27	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06800941102774302
27	0.2	-inf	-inf	mND	Prec@100	0.18
27	0.2	-inf	-inf	mND	Prec@200	0.17
27	0.2	-inf	-inf	mND	AveP	0.08973501630366904
27	0.2	-inf	-inf	RWR	Prec@100	0.22
27	0.2	-inf	-inf	RWR	Prec@200	0.185
27	0.2	-inf	-inf	RWR	AveP	0.08778532495953295
28	0.2	-inf	-inf	Naive	Prec@100	0.0
28	0.2	-inf	-inf	Naive	Prec@200	0.01
28	0.2	-inf	-inf	Naive	AveP	0.025556138524549
28	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.22
28	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.19
