idx	rho	beta	gamma	method	metric	perf
14	0.2	-inf	-inf	RWR	Prec@100	0.22
14	0.2	-inf	-inf	RWR	Prec@200	0.17
14	0.2	-inf	-inf	RWR	AveP	0.08646490421711284
15	0.2	-inf	-inf	Naive	Prec@100	0.0
15	0.2	-inf	-inf	Naive	Prec@200	0.0
15	0.2	-inf	-inf	Naive	AveP	0.03711522173072667
15	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.14
15	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.12
15	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06526110657173649
15	0.2	-inf	-inf	mND	Prec@100	0.18
15	0.2	-inf	-inf	mND	Prec@200	0.155
15	0.2	-inf	-inf	mND	AveP	0.08918692290942798
15	0.2	-inf	-inf	RWR	Prec@100	0.18
15	0.2	-inf	-inf	RWR	Prec@200	0.16
15	0.2	-inf	-inf	RWR	AveP	0.08386157863377389
16	0.2	-inf	-inf	Naive	Prec@100	0.0
16	0.2	-inf	-inf	Naive	Prec@200	0.0
16	0.2	-inf	-inf	Naive	AveP	0.03639568021092189
16	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.15
16	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.125
16	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06459968530611299
16	0.2	-inf	-inf	mND	Prec@100	0.16
16	0.2	-inf	-inf	mND	Prec@200	0.14
16	0.2	-inf	-inf	mND	AveP	0.08622742744896408
16	0.2	-inf	-inf	RWR	Prec@100	0.2
16	0.2	-inf	-inf	RWR	Prec@200	0.17
16	0.2	-inf	-inf	RWR	AveP	0.08443379331985151
17	0.2	-inf	-inf	Naive	Prec@100	0.0
17	0.2	-inf	-inf	Naive	Prec@200	0.0
17	0.2	-inf	-inf	Naive	AveP	0.03779913492261419
17	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.17
17	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.125
17	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06677735173104027
17	0.2	-inf	-inf	mND	Prec@100	0.2
17	0.2	-inf	-inf	mND	Prec@200	0.165
17	0.2	-inf	-inf	mND	AveP	0.09367059260275022
17	0.2	-inf	-inf	RWR	Prec@100	0.21
17	0.2	-inf	-inf	RWR	Prec@200	0.16
17	0.2	-inf	-inf	RWR	AveP	0.08717168492925628
