id	prior	degree	curv_mean	curv_std
A6NIX2	False	19.0	-322.1578947368421	351.0319018577709
A6NIZ1	False	3.0	-165.66666666666666	53.67391255432092
A6NJ69	False	2.0	-1021.0	921.0
A6NJ78	False	233.0	-266.0128755364807	243.7123380070888
A6NJB7	False	8.0	-348.75	177.69338057451662
A6NJL1	False	5.0	-144.6	77.67264640785712
A6NJU9	False	3.0	-533.3333333333334	527.9755886612772
A6NJW4	False	1.0	-179.0	0.0
A6NJZ7	False	15.0	-116.4	53.850162488148534
A6NK02	False	5.0	-983.4	395.3644394732536
A6NK44	False	1.0	-371.0	0.0
A6NK53	False	2.0	-75.0	24.0
A6NK58	False	1.0	-725.0	0.0
A6NK59	False	22.0	-264.1818181818182	123.8678314552309
A6NK89	False	60.0	-198.23333333333332	151.3147235253581
A6NK97	False	1.0	-106.0	0.0
A6NKB5	False	8.0	-788.5	936.8759256166209
A6NKD2	False	2.0	-1431.5	1305.5
A6NKD9	False	62.0	-442.51612903225805	614.2728652363385
A6NKF1	False	11.0	-145.0909090909091	102.47523385540045
A6NKF2	False	4.0	-407.75	541.2921461650816
A6NKG5	False	4.0	-1276.0	1112.0586765094727
A6NKH3	False	2.0	-485.0	283.0
A6NKK0	False	1.0	-33.0	0.0
A6NKL6	False	3.0	-771.6666666666666	181.29227476340213
A6NKN8	False	2.0	-300.5	48.5
A6NKP2	False	3.0	-143.33333333333334	77.34913631637323
A6NKQ9	False	1.0	-11.0	0.0
A6NKT7	True	23.0	-877.1304347826087	773.5499930078337
A6NL99	False	1.0	-180.0	0.0
A6NLC5	False	1.0	-127.0	0.0
A6NLF2	False	1.0	-765.0	0.0
A6NLI5	False	2.0	-201.0	3.0
A6NLP5	False	2.0	-669.0	657.0
A6NLU0	False	4.0	-51.75	72.00824605557338
A6NLU5	False	1.0	-154.0	0.0
A6NLX3	False	11.0	-139.45454545454547	117.75580559813649
A6NM10	False	5.0	-75.0	27.400729917285048
A6NM11	False	2.0	-1511.5	1286.5
A6NM43	False	8.0	-84.375	39.51245847830783
A6NM62	False	2.0	-488.5	361.5
A6NMB1	False	1.0	-11.0	0.0
A6NMB9	False	1.0	-781.0	0.0
A6NMD0	False	1.0	-131.0	0.0
A6NMD2	False	1.0	-765.0	0.0
A6NMK7	False	7.0	-108.57142857142857	54.81881101242827
A6NMK8	False	1.0	-423.0	0.0
A6NML5	False	1.0	-1695.0	0.0
A6NMS7	False	1.0	-2797.0	0.0
A6NMT0	False	3.0	-34.666666666666664	5.90668171555645
A6NMX2	False	1.0	-56.0	0.0
A6NMY6	False	37.0	-747.5135135135135	657.2097703548064
A6NMZ7	False	2.0	-106.5	2.5
A6NN06	False	1.0	-409.0	0.0
A6NN73	False	1.0	-730.0	0.0
A6NNA2	False	2.0	-1734.5	480.5
A6NNB3	False	1.0	-137.0	0.0
A6NNF4	False	1.0	-130.0	0.0
A6NNH2	False	1.0	-563.0	0.0
A6NNL0	True	1.0	-555.0	0.0
A6NNL5	False	2.0	-511.0	411.0
A6NNM8	False	2.0	-229.5	130.5
A6NNT2	False	5.0	-325.4	157.48345944892117
A6NNV3	False	2.0	-902.0	136.0
A6NNW6	False	2.0	-141.0	69.0
A6NNX1	False	4.0	-347.25	363.765979030475
A6NNY8	False	10.0	-539.4	884.5973321234922
A6NNZ2	False	7.0	-731.7142857142857	386.30658227656966
A6NP11	False	1.0	-1325.0	0.0
A6PVS8	False	5.0	-281.2	249.48859693380777
A6PVY3	False	2.0	-189.0	118.0
A6QKW0	False	1.0	-2153.0	0.0
A6QL63	False	2.0	-64.5	33.5
A6QL64	False	14.0	-436.2142857142857	693.0634044970642
A6XGL0	False	3.0	-731.6666666666666	694.2412324897513
A6ZKI3	False	27.0	-299.51851851851853	546.8375322653901
A7E2F4	False	3.0	-316.6666666666667	345.7188967290558
A7E2S9	False	1.0	-2217.0	0.0
A7E2U8	False	1.0	-818.0	0.0
A7E2V4	False	32.0	-441.4375	491.87783909599955
A7E2Y1	False	37.0	-269.8918918918919	419.45426473517807
A7KAX9	False	78.0	-530.0769230769231	544.365397862991
A7MBM2	False	1.0	-2797.0	0.0
A7MCY6	False	39.0	-322.46153846153845	361.78013199362607
A7MD48	False	32.0	-226.78125	305.3379003635767
A7UJ17	False	1.0	-213.0	0.0
A7XYQ1	False	5.0	-1048.0	1051.5441978347842
A8CG34	False	32.0	-538.8125	699.9171574863342
A8CGI0	False	1.0	-19.0	0.0
A8JZY9	False	1.0	-2153.0	0.0
A8K008	False	1.0	-236.0	0.0
A8K010	False	1.0	-112.0	0.0
A8K0R7	False	7.0	-1153.7142857142858	791.6023017157243
A8K0U2	False	8.0	-377.25	87.02549913674727
A8K0Z3	False	68.0	-219.38235294117646	192.49797779012434
A8K132	False	1.0	-2153.0	0.0
A8K146	False	1.0	-195.0	0.0
A8K1E4	False	1.0	-203.0	0.0
A8K251	False	5.0	-331.6	276.9350826457349
A8K2B9	False	1.0	-149.0	0.0
A8K2R3	False	8.0	-227.375	174.48061317808347
A8K2U0	False	32.0	-327.21875	563.3185563235402
A8K2U6	False	3.0	-274.3333333333333	239.18937174455633
A8K394	False	1.0	-195.0	0.0
A8K3A8	False	2.0	-303.0	285.0
A8K3H8	False	2.0	-1127.5	1026.5
A8K3K1	False	1.0	-420.0	0.0
A8K3S1	False	1.0	-2153.0	0.0
A8K3Y5	False	3.0	-813.0	947.1877673759658
A8K4A8	False	1.0	-2153.0	0.0
A8K4B4	False	1.0	-533.0	0.0
A8K4G0	False	11.0	-529.3636363636364	846.9811925278315
A8K548	False	1.0	-413.0	0.0
A8K566	False	1.0	-2153.0	0.0
A8K588	False	1.0	-2153.0	0.0
A8K5B0	False	1.0	-2153.0	0.0
A8K5C4	False	1.0	-2153.0	0.0
A8K5K0	False	1.0	-2153.0	0.0
A8K5N5	False	1.0	-2153.0	0.0
A8K5Q1	False	1.0	-2153.0	0.0
A8K5T7	False	1.0	-2153.0	0.0
