idx	rho	beta	gamma	method	metric	perf
22	0.2	-inf	-inf	RWR	Prec@100	0.19
22	0.2	-inf	-inf	RWR	Prec@200	0.155
22	0.2	-inf	-inf	RWR	AveP	0.087440131408921
23	0.2	-inf	-inf	Naive	Prec@100	0.0
23	0.2	-inf	-inf	Naive	Prec@200	0.0
23	0.2	-inf	-inf	Naive	AveP	0.036023807281055795
23	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.21
23	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.165
23	0.2	-inf	-inf	RWR w/ GDC	AveP	0.0807616911884145
23	0.2	-inf	-inf	mND	Prec@100	0.23
23	0.2	-inf	-inf	mND	Prec@200	0.16
23	0.2	-inf	-inf	mND	AveP	0.09002978717283208
23	0.2	-inf	-inf	RWR	Prec@100	0.21
23	0.2	-inf	-inf	RWR	Prec@200	0.165
23	0.2	-inf	-inf	RWR	AveP	0.08912452852918674
24	0.2	-inf	-inf	Naive	Prec@100	0.0
24	0.2	-inf	-inf	Naive	Prec@200	0.0
24	0.2	-inf	-inf	Naive	AveP	0.034778204854181496
24	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.16
24	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.13
24	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07081848833468775
24	0.2	-inf	-inf	mND	Prec@100	0.18
24	0.2	-inf	-inf	mND	Prec@200	0.12
24	0.2	-inf	-inf	mND	AveP	0.07906955266760415
24	0.2	-inf	-inf	RWR	Prec@100	0.16
24	0.2	-inf	-inf	RWR	Prec@200	0.12
24	0.2	-inf	-inf	RWR	AveP	0.07964413034340152
25	0.2	-inf	-inf	Naive	Prec@100	0.0
25	0.2	-inf	-inf	Naive	Prec@200	0.0
25	0.2	-inf	-inf	Naive	AveP	0.03478079627559622
25	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.17
25	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.135
25	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06948403182195656
25	0.2	-inf	-inf	mND	Prec@100	0.18
25	0.2	-inf	-inf	mND	Prec@200	0.145
25	0.2	-inf	-inf	mND	AveP	0.08010136918254855
25	0.2	-inf	-inf	RWR	Prec@100	0.16
25	0.2	-inf	-inf	RWR	Prec@200	0.135
25	0.2	-inf	-inf	RWR	AveP	0.0792674186640911
26	0.2	-inf	-inf	Naive	Prec@100	0.0
26	0.2	-inf	-inf	Naive	Prec@200	0.0
26	0.2	-inf	-inf	Naive	AveP	0.0353549350915478
26	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.17
26	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.145
26	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07400972515078866
26	0.2	-inf	-inf	mND	Prec@100	0.19
26	0.2	-inf	-inf	mND	Prec@200	0.135
26	0.2	-inf	-inf	mND	AveP	0.0832699153468427
26	0.2	-inf	-inf	RWR	Prec@100	0.17
26	0.2	-inf	-inf	RWR	Prec@200	0.145
26	0.2	-inf	-inf	RWR	AveP	0.08310351868334327
27	0.2	-inf	-inf	Naive	Prec@100	0.0
27	0.2	-inf	-inf	Naive	Prec@200	0.0
27	0.2	-inf	-inf	Naive	AveP	0.03512295058266173
27	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.19
27	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.16
27	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07920770761775184
27	0.2	-inf	-inf	mND	Prec@100	0.21
27	0.2	-inf	-inf	mND	Prec@200	0.16
27	0.2	-inf	-inf	mND	AveP	0.0890195153759204
27	0.2	-inf	-inf	RWR	Prec@100	0.19
27	0.2	-inf	-inf	RWR	Prec@200	0.16
27	0.2	-inf	-inf	RWR	AveP	0.08811389307889292
28	0.2	-inf	-inf	Naive	Prec@100	0.0
28	0.2	-inf	-inf	Naive	Prec@200	0.0
28	0.2	-inf	-inf	Naive	AveP	0.035256289034086515
28	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.2
28	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.16
28	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07723837087835275
