id	RWR	RWR + Curv	RWR + Prior(uKIN)	RWR + Prior(uKIN, Curv)	RWR + Prior(uKIN) + Curv	RWR + Prior(uKIN, Curv) + Curv	RWR + Prior(RWR)	RWR + Prior(RWR, Curv)	RWR + Prior(RWR) + Curv	RWR + Prior(RWR, Curv) + Curv
Q99436	22.255229060854866	23.750386408015878	21.98466658399965	21.691799890103145	23.46062001529638	23.15005708753471	7.537574066655906	7.717526518102932	7.784308591297793	7.9998017476753915
Q99437	12.296806313570954	12.773127233776016	11.837920188174316	11.474088876989617	12.292991910320255	11.910968069865678	6.047454164375961	6.1057508559521345	6.133756933499323	6.182177660208843
Q99439	11.362063666493567	11.235050907392255	11.20718887426146	11.022978977250007	11.08214591669048	10.902941722764627	4.602967570436133	4.586880007505626	4.624769411826607	4.638228864095002
Q99440	16.362592298271476	17.036057610227218	15.990534871293736	15.75062490750353	16.614652338689872	16.34157897970088	11.86651368809459	11.959524619593891	11.96154348797203	12.042214524142576
Q99442	20.180389073620617	21.8166966404709	19.8803543253791	19.54810064102287	21.50796207626217	21.161505077529668	6.094154214109614	6.655527741896691	6.736909439800879	7.268360538966646
Q99445	5.69579911589214	6.39713465064909	5.435091070611441	5.221490607667477	6.113298741172005	5.880352876906309	0.5140340156507909	0.5966774760547382	0.6185790163285476	0.6981669869827327
Q99447	8.728831996881834	9.212816259949953	8.49440611163611	8.29516096786012	8.955395763562255	8.737480139740041	3.7196013963520405	3.778538974810125	3.788233090334772	3.8352502623601032
Q99453	2.333083890987955	2.356487251771172	4.779525054861369	5.762765811347006	4.988461519657941	6.0396985712368165	5.308684663243096	5.9446146514603475	6.342103790213279	6.751683552382257
Q99456	11.914181837481939	11.905216779122027	11.815351352881228	11.739093454405127	11.807554184457514	11.732272726155989	11.266213972677338	11.26744678574289	11.268121718709438	11.268458551263263
Q99457	7.453436402014647	7.708034289139395	7.28138201174215	7.15474450061884	7.518398245725259	7.3795023292497826	5.1230919544144475	5.138032708186193	5.140014265601576	5.153929557962793
Q99459	188.2188051488813	165.169357592372	189.76236665863618	191.00823717160168	166.4714422199775	167.56858934621042	301.86646747997844	290.16812895102936	300.9092244265457	274.75021013867797
Q99460	39.81640720284448	40.01408122804977	40.01487971171508	40.06010949431026	40.227407555846334	40.28434152763886	23.661742253869363	24.087582189642944	24.525010464836583	24.772244945202097
Q99466	16.68518951502505	17.12943051416085	17.197780373914142	17.683759820201455	17.685285729839762	18.210839300342847	12.94033298720133	13.160054114231826	13.039077026641483	13.33949419873904
Q99467	4.463380099145219	4.774169005479751	3.674687654391506	3.4874396429236563	3.805919238217832	3.5690645368461507	3.200622675384284	3.201701089178134	3.20177089775889	3.2038525311204804
Q99469	11.365505421924206	11.477435462377779	11.515971085844638	11.633687318716477	11.656242250122235	11.796084655776122	6.804716047837649	6.955551042086564	7.011502271416828	7.186934958838885
Q99470	8.047260772462936	8.051713485168117	7.814208685519738	7.583497238544326	7.8189788702090945	7.588372885727706	4.625647208935474	4.608172734446046	4.6182231791950485	4.60348249805033
Q99471	44.3786269253303	46.06494106820572	43.641765490219946	42.976610777759774	45.30654257184945	44.63004582040012	17.719010152323115	19.331735637830654	19.616038423808927	21.023985492560083
Q99487	5.928737361923084	6.059803855515212	5.899335484485349	5.881290263175001	6.030925244066441	6.0139204229476055	4.793457025670716	4.826367084512248	4.835117573822681	4.86663663816066
Q99489	5.169202818404469	5.178366811893246	5.0396682159418695	4.970813455198892	5.046202736049022	4.975830625667707	4.795465060480773	4.7954153626077725	4.795578100687343	4.795482368893754
Q99490	23.061834383313812	23.48774539228586	22.705765404310057	22.606770157753584	23.09062335735725	22.979450881076236	19.508248203026636	19.62451322808399	19.639157386722335	19.734881759992813
Q99496	127.22408396243918	109.57363379923002	129.6055807414365	131.12121940193154	111.63507900082112	112.99147487460067	196.52866331935556	194.31516299177508	202.89408809654597	188.08950175052692
Q99497	46.56027515398018	46.94215380414371	46.85857045020152	46.94256103139184	47.27045010380363	47.38347455411809	30.266423913809174	33.566461899194934	33.89359873677095	36.21481233669186
Q99500	4.879587198266479	5.079252437853829	4.689985036531954	4.584694266588321	4.867994921639537	4.750954028555433	3.3713275697455214	3.3824416513442768	3.386539364995446	3.396640311652138
Q99501	16.990851764750932	17.799392735903705	16.861081320169934	16.745254341892295	17.650757101771248	17.520882520653718	11.60088612430295	11.724028900787774	11.757516139906182	11.879705235046503
Q99502	11.005335490597428	11.808136142275023	11.413708943786524	11.672246154694777	12.279147256170749	12.57616705787628	4.805739201865576	5.247315002194966	5.284612172410282	5.682604247641359
Q99504	17.006133262609403	17.814129204701548	17.14467759988148	17.20482833138028	17.97695208356447	18.05542086748591	7.848754870749807	8.180753179600458	8.354053245816193	8.718035590371425
Q99518	7.703682013501076	7.722208077049508	7.620178742153498	7.596239286350018	7.629587342451334	7.603047718442442	7.537690947611388	7.537733220637607	7.537751940269819	7.537792676219685
Q99519	19.344957781940668	19.92328087266966	18.893096478508042	18.534814292260744	19.449983735502144	19.073703730111152	12.109983249888788	12.244015935574586	12.289979083981713	12.397435989616975
Q99523	40.087082890346935	42.57480801290934	39.69194511234257	39.31584907765403	42.14958717118454	41.76376033813868	19.00684588108186	20.58325326993931	20.950731745990698	22.900521177724773
Q99525	4.412647909792439	4.575389463107476	4.150099645689504	3.9117935762188876	4.306150022959004	4.060964321244666	0.5443148299790627	0.5584470229371638	0.5692841526658213	0.5771976501828407
Q99536	13.060069735030156	13.136722764004412	12.855345122483339	12.621583636966045	12.92727108271449	12.687429761697528	5.988201825495236	6.0170228100668846	6.051238081707829	6.037552342716746
Q99538	9.753521749506293	9.965379795108527	9.46856162438893	9.18988464396964	9.66683420996429	9.378704337883306	3.687084546761438	3.656413346678403	3.703457553245869	3.6874364930002073
Q99541	8.760866108247253	9.13376417064959	8.410211208814761	8.136449613984537	8.757425365834541	8.462324106057899	4.896924686778459	4.9203915455494185	4.926572773520005	4.947558754037529
Q99542	4.259086893189751	4.320871494048341	4.002048870840788	3.9410088763114586	4.030171057215154	3.9610323388121054	3.7907284624490067	3.791303557623742	3.7912809178634226	3.7917182275069736
Q99543	11.266108376217186	11.286759326312636	11.11781932866207	10.966421585120017	11.133274859594268	10.975011106323338	5.961767500523196	5.916585996391012	5.918244405746703	5.893991882450072
Q99547	10.691736267874758	11.191535284764868	10.658512022047935	10.64002944692371	11.15282496841346	11.131243551247113	4.348836794605888	4.454812412639111	4.380027937067012	4.5297849534799415
Q99549	16.860537634793804	18.048488439481005	16.886157954174102	16.843411320140724	18.06903314310958	18.015035326278582	6.964318171265414	7.323543619203026	7.282319829476014	7.647151456059621
Q99550	18.60845812793676	19.068964289699643	18.55543965622728	18.481801048849654	19.017926556051226	18.945121646828678	12.097091021074439	12.156389748171732	12.187815345339253	12.26279707368092
Q99551	6.636409225502364	7.0583144855476245	6.439471058819427	6.291245530525994	6.835038271568224	6.667689509210565	3.6660645077760408	3.7133130895012627	3.7209860190246484	3.764765920611233
Q99558	44.12102558857102	45.758880345755365	44.25607581954609	44.273386871208295	45.91139707087916	45.94491178800226	21.469574965768068	23.654718901685882	23.810544951798953	25.44244388971377
Q99567	15.55705998321359	15.60581561311346	15.575051975706122	15.568471295623473	15.633163912425474	15.632019825254417	6.870383439279338	6.920052024315608	6.811448146747943	6.91288579607973
Q99569	19.434276470450076	19.62348351931721	19.95379381654833	20.264677444523404	20.187933930216953	20.52306971789967	12.834502358859543	12.830836915662587	13.008280047677689	13.20370747817669
Q99570	10.946602662871287	10.900817403197136	10.74126942984266	10.510187838606914	10.695831046690667	10.461747226699222	4.125020359358385	3.9862488033935977	4.005326860729431	3.9392802874751385
Q99571	12.945673934440643	13.892786643259305	12.33335462240566	11.868984590568674	13.215466736871315	12.700662592709348	5.310025091255148	5.37879811132842	5.376527192547024	5.44522489478751
Q99572	10.36069618410618	10.85926896443925	10.041095834533959	9.76967381992647	10.518816270330207	10.229690717012613	4.986578786665551	5.058473714861926	5.08569712124857	5.144043201110967
Q99574	4.582323204267085	4.764715387507912	4.427797171173155	4.33184985509848	4.59207702029517	4.485156962090788	3.2415226189453303	3.250660461029898	3.252400387758917	3.260798185707964
Q99575	25.865929142832794	25.97913331925819	26.09927710186577	26.24400311250005	26.224470432634316	26.37154277939137	16.099403954600167	16.21035321089253	16.23377656632485	16.416316848514843
Q99576	14.151068270462323	14.846293815403875	14.114075180704614	14.047698196514263	14.80212945696296	14.726607934129174	7.065637209013017	7.323982446072462	7.339752449128426	7.545376823470434
Q99578	7.456243752547002	8.177993984305623	7.336365313651321	7.228094695992729	8.04690888576329	7.929690133664382	2.126230224397071	2.206494033603156	2.2502459592910578	2.3884861194412164
Q99583	7.332316984284416	7.391881193585557	7.309536497391562	7.286966300468041	7.370483935948075	7.346287710990556	4.032041388267577	4.043803791842909	4.0142661986577775	4.025145675980152
Q99584	8.178434164416345	8.640672433776722	7.865988104049719	7.617795753130554	8.303234518435604	8.03565886652021	3.0368744469608293	3.0341379406162057	3.0303930698193806	3.044713112633038
