id	name	RWR	RWR + Curv	RWR + Prior(uKIN)	RWR + Prior(uKIN, Curv)	RWR + Prior(uKIN) + Curv	RWR + Prior(uKIN, Curv) + Curv	RWR + Prior(RWR)	RWR + Prior(RWR, Curv)	RWR + Prior(RWR) + Curv	RWR + Prior(RWR, Curv) + Curv
ENSP00000257863	AMHR2	10.235564170228356	10.61168485492093	10.442382255809777	10.389605052793144	10.842897533997794	10.79034143954335	4.8054076758815905	4.934678847450783	4.975052421786471	5.079190867198259
ENSP00000257867	LACRT	1.9004058279360383	1.9491171361710369	1.6946769705687708	1.5638105627738568	1.7323076769844443	1.5937839576182027	1.1494403859105689	1.150051645982618	1.1505260365584156	1.1511259901080373
ENSP00000257868	GDF11	8.036683224656434	8.156441957153724	6.561717547731749	6.140321941221733	6.62826275797977	6.1871254586034015	5.484464528124648	5.512003731093392	5.493220293266939	5.5211892372584925
ENSP00000257895	RDH5	10.59989632471435	10.782835813302464	9.701655219139498	9.066042834895415	9.86263694741242	9.207089577425787	5.997894132541499	5.996719202474774	6.012497568245677	6.011261664190643
ENSP00000257901	KRT85	9.083859034336383	9.124070455694708	8.377351164670143	7.811816294245469	8.519798286442777	8.035551100952251	3.6659564798644517	3.6755006976615734	3.6940490075281547	3.705570757059812
ENSP00000257904	CDK4	35.04011219164793	33.91820264974908	42.07194854746887	49.26256028432888	40.414626870687556	47.037495842092	162.31114293595024	174.31567713206934	166.40078036177727	170.92295382462532
ENSP00000257905	PPP1R1A	8.456550125161062	8.501657236888509	8.284745857966092	8.049013122421067	8.330131748238593	8.086262176130353	5.9166297935105385	5.919650281324971	5.9268543188094505	5.926349049737742
ENSP00000257909	TROAP	10.852445328030258	11.1263037843899	9.395962255445038	8.828699590740936	9.567442192558516	8.947311740114511	7.78443963611169	7.783474586343879	7.787004915749967	7.785684602119154
ENSP00000257915	TFCP2	7.5089839285996	7.704531846786896	7.227383459925681	6.880422277347097	7.409256132094986	7.035648001125582	4.5099173512374575	4.497365865434595	4.520667681278563	4.507179188587443
ENSP00000257934	ESPL1	21.121343037564504	21.534508077007473	21.46973214688136	21.475697517679446	21.89993057267923	21.93616542016077	10.670858476645146	10.912638965803078	11.091574193626535	11.57869350842815
ENSP00000257940	ZC3H10	3.311441292447332	3.368166305315082	2.987781787792226	2.883367759344975	3.0200442871714377	2.906426088791864	2.713844793092511	2.714168643536789	2.7143624522580025	2.714708342169953
ENSP00000257951	KRT84	7.599098355031267	7.639319154907023	6.89223073026836	6.326426349978722	7.034687983112796	6.55017387560356	2.171023657744826	2.180643668296221	2.1991377795553793	2.210735812268184
ENSP00000257974	KRT82	7.640937929385844	7.681158464981183	6.934080442283726	6.368283656603908	7.076537409641258	6.592030823818043	2.2131498763590245	2.222767751120713	2.241263389660796	2.2528592727639873
ENSP00000257979		18.934539699776998	19.200311961231506	15.136024211940718	13.768460020888488	15.288377124170804	13.869923285123312	11.601057942802639	11.633085130645545	11.606597612961076	11.639409304953636
ENSP00000257981	KCNH3	6.617218312462953	6.638963382978259	6.074372879352441	5.791504008221619	6.094161189974154	5.808176251130024	5.135764501726224	5.137685080409097	5.138572495558329	5.140545192574273
ENSP00000258034	TAAR5	8.843086390869503	8.753314088936696	8.901274592906542	9.631352724182015	8.711524564765213	9.229188205397902	1.7635616458520882	1.9812427815267881	2.1629102934679167	2.398699934023335
ENSP00000258042	NMBR	14.3705307316713	14.432765565875933	14.468120866497083	15.264677407666605	14.447786949594231	15.09825736513225	6.053593892168119	6.40592031975429	6.843575608680141	7.2514450038912255
ENSP00000258052	SMPD2	13.415285719384862	13.918700468275906	12.53237704694586	11.758132454233126	13.02067290657033	12.21743798026585	5.494013113209281	5.578227824959337	5.569847446072754	5.6556968605747935
ENSP00000258080	HTRA2	10.40937476515987	11.069094032945282	9.831237065844348	9.227240375382438	10.45454241476266	9.796141253428607	4.568551834767591	4.676092725197794	4.659275939009704	4.76700452813469
ENSP00000258091	CCT7	27.694004742119983	27.0100280243421	30.608409724342543	32.02556857141786	29.783767042894162	30.8941458548853	27.40019330699394	28.99167871204215	28.378731969316956	29.615545009763743
ENSP00000258098	RAB11FIP5	6.342788905691613	6.607708301415153	5.690553534466211	5.171351265145103	5.931597541638762	5.382608912136425	2.9613790551915673	2.9642994883458322	2.9692154436388267	2.972265811187227
ENSP00000258105	MRPL53	22.737768991769673	22.62390128829521	21.360662165000942	19.950822000035433	21.473162416947158	20.256777584376746	49.822722788761915	51.38375200046632	54.45817286952488	56.049642635622995
